100 10 720
1	409154	435528	50
2	409151	435683	4
3	409277	435420	33
4	409260	435538	15
5	409240	435695	1
6	409213	435897	5
7	409199	435982	87
8	409178	436078	91
9	409174	436171	45
10	409147	436256	1
11	409469	435389	41
12	409378	435463	23
13	409378	435563	26
14	409351	435734	301
15	409328	435891	53
16	409275	435982	1
17	409289	436065	80
18	409272	436188	118
19	409208	436263	1
20	409754	435326	1
21	409609	435201	15
22	409565	435307	12
23	409577	435510	60
24	409515	435614	35
25	409478	435707	138
26	409442	435810	1
27	409442	435913	173
28	409408	436075	61
29	409344	436201	1
30	409398	436213	21
31	409638	435143	8
32	409683	435349	18
33	409670	435514	35
34	409620	435615	17
35	409688	435618	22
36	409624	435752	60
37	409570	435942	65
38	409541	436090	54
39	409512	436236	39
40	409216	435826	1
41	409158	435820	1
42	408777	434870	5
43	408731	434657	115
44	408808	434639	30
45	408840	435022	98
46	408932	434976	61
47	408897	434650	79
48	409050	434674	8
49	409033	434769	193
50	408906	434723	4
51	409262	434873	654
52	409090	434982	63
53	409020	435056	22
54	409262	435017	283
55	409210	435093	150
56	409109	435153	153
57	409192	435244	20
58	409298	435127	10
59	409302	435225	13
60	409264	435295	3
61	409372	434355	19
62	409426	434622	444
63	409452	434831	54
64	409553	435074	25
65	409434	435030	21
66	409479	434592	13
67	409517	434818	19
68	409539	434954	26
69	409038	435235	90
70	409167	435416	105
71	408778	434739	73
72	409411	434362	3
73	409822	435466	1
74	409811	435545	46
75	409765	435617	28
76	409812	435857	160
77	409792	435978	1
78	409837	436155	65
79	409711	436281	152
80	409969	435509	1
81	409944	435714	61
82	410041	435866	102
83	409946	436015	49
84	410015	436193	43
85	410067	435592	1
86	410073	436039	48
87	410113	436329	27
88	410204	436314	6
89	409645	436119	49
90	410120	436189	27
91	409875	435755	19
92	410180	436398	33
93	410244	436276	1
94	410224	436222	1
95	410435	436784	37
96	409573	436533	49
97	409575	436677	54
98	409553	436813	30
99	409546	436882	12
100	409701	436391	34
